"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
9,5,16,4,34200,34,17,16,9082,4528,257,81730,30895,12724,93,6480,34245,101,21,1,562,146628,8395,9,24017,5269,72306,37792,13,7705,465,2351,13,31218,201612,9646,5722,66,388,3,4937,375,17,7,278,220,147938,3,1351,28290
36,5,16,4,296219,1,44,35,39523,23682,121,69895,14727,68878,52,26371,18208,30,40,2,724,18741,24192,54,39039,217,8528,99002,54,17497,34,6228,7,185549,51095,84734,667,28,247,95,8607,41,3,35,232,303,21535,7,4230,10675
90,10,22,1,90546,11,16,43,10708,45081,329,55239,6681,33472,85,44756,6788,11,32,13,1972,2687,21881,13,79558,399,39674,78155,187,2204,125,4578,11,77875,11283,40192,7525,97,93,3,19486,358,8,4,76,444,191370,5,906,31640
100,9,25,2,14967,158,213,51,1068,11873,1139,98285,3071,2802,201,192119,45007,7,11,14,1355,21471,12788,4,107612,1761,23780,89330,30,1172,166,6670,6,19403,47004,65140,2488,64,257,7,26701,177,23,1,47,910,1164179,5,446,3371
91,1,6,14,139467,20,3,8,22974,14979,1144,63829,2828,9068,729,33836,23797,1,26,29,2571,1697,12902,31,481643,342,3221,82140,373,7336,73,2263,6,252351,93738,75446,308,107,588,10,1722,78,43,12,74,106,99273,47,7228,964
13,19,18,3,13564,29,21,96,3030,14501,146,548807,14020,21859,20,7681,31340,53,31,5,2118,3639,17938,34,235961,392,3019,35854,276,5422,200,4626,19,9678,41792,83520,5003,78,113,5,11447,162,9,7,45,365,480526,12,530,20812
48,1,58,12,25320,2,31,171,18389,15174,36,24949,72040,76309,72,388,33714,21,132,5,558,2972,102710,7,10556,775,84208,196807,16,1168,441,37095,25,11714,22929,42637,5067,8,252,3,36855,149,5,1,94,2074,115066,23,1473,13648
51,2,3,4,729562,47,5,19,15870,110817,450,15366,3086,22370,300,39800,20728,2,30,20,1958,1336,5740,28,263376,686,5192,88290,39,19236,33,15534,8,12435,24697,95651,4084,78,44,11,11497,162,36,5,81,793,696339,6,3454,6637
57,6,64,5,95219,10,13,43,6297,7814,362,361193,3943,17009,29,48512,132150,6,3,16,4272,78107,3830,7,50949,1873,25396,48623,11,2803,767,48214,5,21597,312653,136772,2284,10,114,16,61930,169,1,1,321,1732,55013,2,1188,72641
251,5,26,1,65365,21,11,40,6578,19926,246,49401,6592,67454,271,4254,18705,42,23,38,235,30548,7874,40,62336,2270,1174,39013,85,29380,96,6397,9,72762,73455,15254,626,171,1349,19,945,16,16,157,109,164,124661,27,975,3537
30,9,54,9,15616,7,7,340,16374,8973,30,187060,60243,69351,128,4473,17572,27,7,8,2640,15694,39222,19,40152,296,5860,67959,288,13078,24,7983,23,224427,23380,55475,1372,82,90,47,15395,96,1,116,380,385,21851,6,2525,69302
14,6,26,3,31415,53,8,87,7510,62643,246,65809,9334,27784,43,8148,17009,51,3,18,1251,7531,36505,9,605590,338,7210,18263,83,61685,64,2141,10,107869,133614,24812,882,69,655,6,3965,105,9,19,22,406,339154,7,1804,6794
46,16,3,2,69874,44,15,95,5648,5882,90,503247,10412,4958,29,47332,69247,13,12,29,1545,13723,9368,14,140733,5918,6669,37591,43,22670,614,1730,8,9341,120487,354482,1043,29,77,59,59257,40,9,25,251,523,59813,3,1108,38836
10,3,75,4,24658,5,120,51,8423,15080,321,15575,40004,67569,100,2137,12649,31,80,11,359,4829,32398,44,19683,228,12279,673233,48,2059,51,11199,25,167208,9701,28255,6833,51,344,6,14222,27,6,40,125,676,116314,3,4975,23572
27,6,7,9,48355,37,2,42,7932,47054,130,33818,4389,42449,183,38645,6412,6,8,106,4709,17995,1263,6,340404,5262,5287,26920,22,15722,309,2739,11,9024,302920,47390,5910,19,50,13,34369,39,8,28,383,746,31672,2,4801,41676
28,8,2,4,71937,20,29,166,7529,4496,286,163325,15734,40481,105,10148,112556,7,7,14,5107,21851,9367,8,166758,165,8287,131112,145,9710,36,3074,5,912223,52010,15239,1117,163,356,13,2758,29,18,24,143,117,412665,8,1458,52064
41,34,1,5,34129,34,22,17,23903,4841,1952,7036,35791,19477,313,3604,11211,14,39,8,2259,6847,39491,5,107345,548,13061,165672,36,7418,174,7235,7,110743,85924,69685,1799,37,163,43,13978,162,2,4,303,2382,29703,7,2671,40577
63,1,62,9,41493,11,7,55,6980,39376,305,80174,3373,64436,64,30988,26447,16,3,7,5598,7571,15074,7,45501,1579,15984,94572,37,5840,143,4885,33,142230,89219,8787,1941,83,705,6,8173,32,77,6,67,392,60708,11,1917,5589
11,2,17,5,155534,10,34,10,13766,96749,190,36087,608,85662,355,28988,22216,6,9,62,2388,64516,754,12,257910,3917,4196,46665,6,10304,589,89351,7,26180,62527,136669,7217,28,120,3,22560,72,29,9,70,845,537097,3,1236,15190
56,15,30,5,7322,21,35,53,33926,44902,280,53691,5572,18476,135,22006,38396,42,4,2,5845,23475,26582,17,37715,101,7882,703834,68,2585,86,7665,4,76609,55532,37766,708,37,596,7,21591,33,6,48,156,1208,25248,6,4520,57909
6,11,138,3,5665,10,28,625,15690,3410,46,222117,26051,39587,42,3356,15860,80,25,5,518,14300,17383,6,26264,492,114003,122992,9,3866,223,31427,2,9557,218706,40475,3945,16,142,16,9076,350,2,10,159,303,50679,13,2306,9491
81,2,27,6,20000,33,6,45,10688,45043,205,25306,15877,27363,233,7649,22620,8,42,16,6511,3753,2462,59,254498,2443,5766,229623,51,5303,43,20798,14,86103,11765,31646,24089,47,113,1,24391,156,14,1,334,343,466868,3,2063,3089
42,9,39,5,55268,31,18,42,36418,18745,132,26140,13860,18528,126,4764,53021,11,42,13,1154,4251,113101,6,135643,447,31424,29496,102,6609,600,2964,7,34843,70636,110415,3319,15,167,8,12432,364,8,8,150,2430,27938,3,5799,28533
60,12,6,1,96469,6,13,153,10286,11350,147,106688,7102,20486,256,28662,22352,14,3,19,2742,21127,2879,29,114592,968,19041,71069,42,3804,384,6786,7,19899,64720,161953,3543,12,84,7,195029,116,5,3,195,1151,30635,3,6308,24622
10,5,35,6,5043,52,6,66,5281,58262,122,47006,16552,48908,280,6341,19593,12,39,9,5642,14776,28956,4,65569,737,61869,78474,20,994,1004,18434,38,11101,61476,123417,4289,19,15,47,30533,107,3,5,101,948,52494,4,1850,2310
269,5,12,1,111008,44,13,29,5155,57849,218,153420,9652,24035,87,26906,26045,12,6,66,6078,12597,804,5,374766,4059,7530,5468,40,13903,382,11567,3,138713,31466,59587,1817,36,135,5,47361,22,9,2,328,251,189535,10,259,3277
5,11,25,3,14154,53,8,109,6840,28361,145,212881,24802,19317,129,6638,15694,32,17,15,425,12141,36366,25,53327,1819,17206,30487,45,7148,353,1404,10,53174,180046,49867,2336,120,112,13,4390,168,4,31,44,1777,50687,6,469,33829
176,9,1,1,242576,93,8,37,2989,83987,587,308460,3301,16387,37,34537,32636,14,3,7,1974,8741,22077,35,121904,432,11721,73199,61,5886,102,11888,2,65081,87223,64194,1665,32,57,29,36889,80,4,6,143,430,40292,3,3966,32196
9,8,29,16,49004,5,16,136,9193,9178,64,22638,30338,226304,179,975,3909,37,88,9,1343,5147,5725,38,167669,854,16062,76739,111,9735,43,4625,9,72878,106676,16204,1488,42,375,12,9402,22,26,4,325,549,311650,2,806,23225
6,4,80,10,9284,26,32,22,5865,14878,358,149878,3036,12676,172,31466,43994,6,25,6,2725,9148,63718,24,119230,266,10019,92743,117,3437,117,1832,21,54701,15716,18454,13487,50,158,4,60669,109,18,2,114,630,288307,19,1048,12982
72,10,16,2,34941,89,9,18,4696,44217,1805,37123,4548,20226,705,25285,18989,4,7,109,5901,9303,368,12,130562,4216,16139,93777,14,6338,147,29014,6,23389,92229,105093,2204,6,778,10,38350,26,4,11,581,122,32067,5,933,76818
57,8,44,6,26197,44,11,46,8276,5209,101,601718,19287,35381,18,2489,32991,86,38,31,214,11775,24141,127,12202,431,19751,386324,28,2775,11,41120,85,155474,15090,11407,5446,113,179,52,42989,6,5,16,163,351,92591,7,1945,6853
27,2,48,3,95247,10,32,30,10664,8632,918,46450,15415,13306,63,8439,72328,16,2,5,11799,80175,3043,5,89504,1792,279983,18824,4,4105,1065,30654,9,12015,37717,71704,10131,141,54,17,50605,141,6,3,94,489,368225,11,751,47978
88,2,24,12,10741,24,16,27,15797,106550,309,9751,1657,125470,291,13172,9062,21,18,31,2252,2761,11054,20,200583,613,24434,51236,43,6371,100,2006,14,217596,50521,147571,1972,44,76,2,31964,74,21,11,108,932,61833,6,1130,37472
201,2,24,4,101597,68,5,21,17444,122705,92,72212,2155,121845,95,11290,2485,12,27,42,2003,3913,5883,13,96476,1531,9581,46668,82,8706,61,2314,16,95717,50757,6322,1029,540,296,4,7052,118,19,23,18,97,54834,32,1608,6104
116,2,3,33,104105,59,2,35,49175,139608,153,6515,5935,54228,342,10597,26862,8,11,46,3613,4560,5599,34,136877,2706,6188,30660,57,15911,665,1736,7,11487,242431,292460,904,8,181,20,96487,33,6,18,643,1034,17789,5,2664,24376
20,6,14,4,34016,18,120,102,4563,3714,2343,158489,16728,3117,61,55722,79514,19,2,3,6527,79405,14423,6,74651,1327,19524,55012,64,12526,39,18269,31,28238,29548,41298,18842,40,37,4,26822,2098,11,3,58,2665,229887,18,364,13730
19,3,10,6,61383,32,23,64,3640,25296,495,164708,1268,59185,235,18156,10428,14,40,18,801,14299,4355,129,48863,223,5721,596681,162,5981,21,4798,17,164949,52151,18063,1440,1098,131,2,4050,116,42,18,40,810,76999,11,945,35198
19,2,9,38,27944,15,41,85,1754,26383,241,91702,11099,87932,14,10192,19964,16,19,16,879,55795,20223,2,52108,1327,23127,74696,19,4941,472,7326,6,73126,31032,102524,2918,18,184,5,20799,72,9,19,78,221,77966,12,691,6255
229,3,5,8,436496,26,6,24,27123,35811,40,41557,35694,55323,30,5072,24598,119,16,5,1496,11262,7958,31,31012,2088,6404,110235,41,2963,277,4940,15,12833,75532,161324,2446,18,87,23,46144,305,1,19,61,3652,20115,5,361,175731
66,5,3,3,390110,24,18,22,13746,40372,355,80068,8835,46319,53,15703,17260,12,26,67,616,6358,101365,16,79341,385,20827,120268,128,4315,42,6748,5,55588,21284,43382,1064,44,32,44,6826,78,2,4,514,343,72431,1,4298,13745
32,20,42,1,22938,28,69,51,3499,10334,579,31295,9494,28213,125,17152,17251,18,9,20,2519,20696,10743,4,48351,703,24509,70824,60,3912,515,2588,2,67818,291148,88112,1809,9,323,98,6278,13,6,16,363,1024,31625,4,210,37189
4,2,40,9,58808,30,52,50,11717,30611,122,88182,8364,35836,39,6889,9302,50,17,6,2257,42181,42861,5,82407,1811,9489,32627,167,24710,22,4310,10,117527,47041,31662,2994,43,584,14,22002,37,4,15,270,332,51183,4,3530,20904
3,4,99,9,13243,19,11,109,2141,10914,354,80045,2784,12649,398,7035,38668,6,27,2,3010,11063,34537,2,52535,1488,108456,32330,15,11915,294,18663,16,123359,13386,32709,3012,161,79,25,13240,50,2,8,524,254,48219,6,2766,15705
184,2,2,5,107713,17,3,25,29333,36912,111,41590,25540,38821,95,5676,15362,3,27,37,2688,3324,8172,10,528702,758,3425,19669,338,24749,161,2084,2,60250,290519,92215,2154,16,280,7,15343,16,24,9,358,1198,100423,1,1352,43539
7,1,224,21,100618,2,12,103,14768,7203,104,61072,40760,40716,18,3494,140355,37,26,9,1875,14220,20790,14,21715,2313,46857,83887,23,3926,96,60167,12,31788,22293,38004,2910,49,178,66,8383,81,2,32,156,1220,24158,3,2039,18381
16,4,31,18,10258,13,8,91,15086,12012,269,108591,6751,30785,101,5999,62710,10,13,7,463,17264,6785,8,106296,1090,36208,64624,61,2262,61,7379,44,66832,43342,63481,726,164,563,3,7156,96,14,20,88,401,84461,9,3053,11215
280,5,6,8,40404,27,19,71,7239,19409,426,39341,11930,14608,855,21849,11761,9,23,4,7205,12978,12563,2,116168,1785,57288,15504,21,7846,404,13261,7,27530,72094,87975,1344,25,95,23,19524,78,8,8,254,383,32599,12,534,18246
47,15,5,7,27851,177,8,12,2832,169765,523,71846,2797,11727,839,24194,37770,2,9,6,15287,9624,8368,3,77150,4702,14443,32128,29,16338,285,20351,5,15670,56953,121148,11405,44,63,8,67766,159,1,3,75,3594,298573,6,1889,14163
119,3,9,3,52272,16,7,93,21606,2147,979,16040,51430,7157,76,14812,126944,12,18,11,6687,26386,4936,13,61928,6286,9115,55854,9,9353,200,17389,9,49577,66105,60454,3069,312,141,7,17316,63,16,8,136,1034,177793,3,1161,28003
45,6,71,2,12689,54,25,103,4043,13941,298,101217,15700,34062,40,5783,33666,132,14,2,830,28083,18347,6,53087,2971,20387,45880,19,11837,1047,1229,3,44919,75102,20916,6104,41,21,30,28602,75,2,9,238,2712,42283,9,1031,14430
251,1,25,4,250181,55,15,7,5388,21500,811,53057,3558,11321,873,27075,15811,10,34,23,2700,3571,6783,42,335318,634,2921,24028,41,29415,330,7424,18,25479,88791,16308,8140,63,96,6,34506,168,4,2,27,838,50130,12,1349,46466
13,13,6,2,78178,54,12,1,7676,112432,381,43206,3082,12531,253,43272,42669,6,16,8,12010,8777,8582,8,190804,2193,6095,86077,36,9553,380,3053,4,38972,153773,62831,664,113,223,1,8441,101,18,2,58,314,25310,4,1962,8846
48,10,28,2,51718,41,13,23,10175,13931,80,11358,18457,137005,141,2754,14320,22,40,4,2287,18561,71642,4,23835,621,115157,227930,22,393,76,30815,21,75162,12313,58832,2068,75,121,8,13017,550,3,4,36,4942,162671,1,528,17581
276,2,15,1,181949,8,8,50,12320,65757,1211,121818,1483,12062,246,64438,16464,9,15,8,3288,8399,6274,13,112795,988,9214,44537,38,4555,327,10117,3,35465,40944,145681,4190,46,102,4,46487,60,16,5,401,926,105104,2,465,14749
38,3,12,2,306204,93,5,8,22443,31800,121,37917,13285,71139,46,11647,11951,18,48,10,319,6818,34169,39,55272,399,51250,79088,8,5840,239,23300,5,21365,35092,167984,22559,39,67,3,30503,357,6,2,87,4186,605049,2,266,21516
173,1,13,4,12013,125,10,69,5599,73725,207,51399,5122,69791,86,8150,15972,118,60,1,2057,21924,23294,48,10430,971,4499,76518,20,12971,179,14509,9,15618,11024,94472,5958,118,88,2,73665,218,10,3,74,457,98397,7,1590,24036
167,5,1,1,95252,199,3,11,5795,19442,876,70466,16696,20619,247,5290,18145,21,31,7,1795,16247,6818,12,57099,756,59061,28943,54,10308,200,11656,2,15431,122422,185986,1630,34,177,14,25730,85,9,2,117,2135,135651,5,132,50958
69,6,11,2,54310,96,30,20,1875,21789,1721,52791,1850,9509,248,10078,2876,3,64,100,1653,1324,3028,16,418690,1256,9300,50392,50,32138,513,7710,4,24862,156317,32516,7763,24,516,7,34749,121,2,8,114,1051,478407,1,2668,2213
41,8,4,7,37722,46,24,89,25987,15450,62,50620,23065,71525,255,3321,10464,26,29,18,221,11228,24494,32,10015,148,41835,1786742,28,1451,155,10094,9,44493,23614,39231,511,260,1426,30,4064,25,46,57,99,244,20695,6,1010,27367
23,4,46,1,23920,6,25,302,9206,4649,304,117928,4164,8539,171,26758,32987,4,23,11,5323,5869,7677,5,114697,1222,27961,30564,47,8152,647,16802,13,9590,55202,30489,4995,133,70,3,54622,263,11,9,82,838,38644,5,1160,20640
157,5,39,1,20838,185,28,71,2506,19403,364,42197,8348,31184,215,13133,91345,5,4,18,12823,11767,4441,6,149266,4805,13922,20857,16,6332,650,10833,3,44437,63253,87962,3801,39,95,6,25163,215,7,8,196,337,122696,12,159,24726
33,8,14,1,131866,17,15,100,7768,26811,415,92450,6730,9916,196,24679,18892,5,17,21,1689,12917,2554,8,131804,1836,25916,86275,23,8157,176,4469,7,48975,191658,13233,895,68,699,20,3443,29,12,14,295,132,32016,5,6397,12922
268,3,16,4,462729,18,6,37,1747,57602,495,10084,7610,49232,154,13670,7590,25,13,16,2278,21102,5180,4,77382,1764,10464,105196,25,1690,370,31525,4,25034,26027,213159,2647,44,612,38,30272,87,1,25,158,2351,53091,6,392,53768
50,1,21,12,45466,4,10,62,14501,35865,401,29296,5368,61346,158,2923,31536,21,31,8,506,12545,28672,35,17224,179,27894,159307,109,3519,250,4353,16,19012,124663,44871,12342,14,51,1,289234,203,8,2,89,2773,45953,3,5633,137363
17,1,4,5,85399,15,20,38,7088,36497,255,43703,4413,42676,101,4778,32975,33,30,5,2757,16175,8572,29,41226,674,18571,102365,23,4476,97,14916,12,63002,20115,35097,7848,59,141,8,10564,195,37,3,41,405,197501,6,435,20181
11,3,32,12,26047,4,41,23,6029,14253,181,38708,17790,18212,326,7832,6227,8,178,17,464,2525,42288,43,14451,1182,21904,478428,16,2197,25,21300,9,79465,10707,43025,5039,221,28,15,27507,361,5,3,164,2030,55042,4,739,69849
39,9,22,3,14543,7,30,53,3659,46500,354,91776,3785,42176,165,11567,34581,18,10,27,4540,56965,13955,1,108934,1951,32191,13832,26,12207,422,13110,7,21658,158257,128877,1337,15,141,25,52375,49,8,12,395,145,63525,8,2646,10250
102,1,42,4,64822,26,14,46,11486,45303,603,106972,3076,60081,98,29685,40217,21,18,4,1839,56296,9927,6,40160,5770,60054,16472,25,1854,971,5537,10,21552,87294,268495,11461,12,72,14,37259,33,14,3,381,1543,63916,1,1243,34982
87,9,6,4,223879,22,11,68,10550,30188,341,48620,2245,41225,706,1823,7487,86,66,21,157,2527,42283,66,133551,180,5123,39141,593,13325,84,1483,10,185877,78350,66961,543,59,192,45,19557,31,3,9,1297,595,38225,6,1509,30306
48,4,11,7,69345,90,34,12,5024,21526,347,242443,4515,43050,17,19863,25144,38,22,12,1466,19548,7671,10,76620,4353,12704,11052,21,24594,192,6957,7,20059,255318,351802,1349,58,138,16,31569,65,6,4,173,1361,285371,1,1311,21817
236,8,41,4,96879,16,5,67,11636,27171,202,92552,6162,32103,31,61649,9685,28,14,5,4460,9378,6309,24,168810,491,7101,48574,228,32202,46,12632,45,34888,11392,38687,10549,679,44,3,16354,267,78,5,25,156,368247,28,4481,669
77,8,12,10,20498,22,26,48,9527,2419,2260,252914,14287,10740,28,10543,35691,98,4,8,3445,79490,7457,8,43648,1463,9218,58494,103,6318,217,3172,10,87111,27197,34875,1596,160,108,27,6266,110,1,4,167,1360,28903,7,6661,75642
119,4,44,2,55706,27,5,53,13937,62952,79,47004,4684,72006,63,16591,28776,6,8,7,1431,9979,14968,34,159045,321,10469,20809,191,5046,560,5463,3,28257,172186,211955,1961,10,137,113,55876,17,3,10,887,2676,18510,1,3663,45303
86,2,13,1,316865,93,11,5,3085,163743,638,22817,874,58165,92,26425,14445,16,22,6,698,18226,12120,16,25087,647,13020,57376,35,2877,399,5206,18,18330,54622,54552,1976,43,230,14,16018,107,2,22,161,4455,60682,3,1086,18298
45,5,20,9,30866,10,6,274,13612,8703,223,72477,5502,39960,186,3396,12422,87,35,2,284,18102,61535,32,61774,111,50547,65550,43,5052,90,8138,8,65547,86924,39301,2924,11,150,31,57903,21,3,6,194,1284,42272,9,320,57821
28,2,15,7,170110,36,6,15,71526,74314,127,5163,9137,179537,265,12311,22183,14,15,45,1106,7636,5929,23,65736,539,10561,117811,108,1665,22,19712,62,168428,11251,24385,6344,439,214,5,1635,384,14,12,101,977,122005,3,967,36783
104,1,2,1,473091,28,26,2,10150,93985,719,10915,2815,96148,586,67125,15154,1,53,35,4209,2228,1950,8,1669185,8879,9501,4334,30,43209,564,713,1,143623,393270,94785,871,51,464,22,10320,36,3,28,208,399,32017,2,1314,46629
7,2,56,6,17123,13,41,100,2391,28857,339,70451,8052,65249,227,7515,10145,16,28,11,2413,19007,23585,5,40805,3008,36549,27519,22,6096,522,54028,3,6795,78912,537872,7530,13,151,43,39652,18,2,27,296,317,30830,6,1658,37637
53,4,10,4,51402,5,50,59,6532,8851,164,282726,5672,12618,90,20248,50444,21,8,12,8803,49339,4588,8,233881,405,15013,73625,79,3913,216,1355,30,41464,83354,72785,1247,86,255,7,41876,37,5,12,284,1728,158960,3,2106,19566
11,5,23,5,48945,10,24,175,6237,15966,198,328846,3018,75740,47,42699,16581,52,14,33,228,31169,10065,5,39248,1176,80304,183376,13,4033,197,90978,10,6201,36714,343762,23937,12,23,28,83486,99,3,12,118,2838,44698,1,2439,13727
12,67,23,2,21179,95,2,128,6682,29056,803,176382,16411,13115,93,13118,24429,10,11,50,643,6372,4592,25,32469,5546,11961,12729,84,7825,514,4095,6,36929,37701,83439,828,69,133,26,6098,208,8,5,43,254,744941,16,1954,1497
74,8,7,2,26908,120,11,34,1801,116813,321,45795,2965,20269,679,20412,18905,31,13,44,929,19187,9762,13,30610,1125,29743,45042,40,8106,253,9920,8,11505,23007,160054,6522,10,128,6,74465,51,7,4,239,979,127774,8,461,25264
19,11,13,9,26514,69,52,63,12712,13491,965,63834,2389,79164,209,10589,3332,63,25,12,641,108062,19223,6,17027,446,50500,200102,88,1939,106,2937,8,39250,54942,21602,18177,17,435,4,49035,71,21,2,143,108,107142,5,4481,8565
9,3,14,5,25590,4,22,205,21081,8467,118,113072,28455,26641,266,2594,52569,29,20,5,743,10726,29125,50,53129,339,29402,38343,137,20410,259,5625,11,45523,22294,94319,1427,68,55,8,5785,224,5,21,111,413,83788,6,1537,14804
20,2,21,6,32343,15,17,35,24122,18516,244,17237,14408,95815,251,3912,5109,40,76,25,816,2893,5508,42,157714,4374,1883,33533,59,46609,326,1541,4,62641,109654,103724,4512,14,84,72,48342,35,3,11,267,515,67585,12,899,25213
67,3,34,3,42505,10,40,60,10274,26449,228,87583,6600,17892,115,5399,14481,10,43,13,2165,3429,10018,12,90228,521,10808,134903,67,5106,233,2255,7,63135,74773,18431,6106,286,11,13,18062,732,6,4,138,311,259016,5,2922,5412
65,9,5,8,36168,34,66,27,2228,14584,725,57923,7237,20221,203,15303,7323,13,24,12,2027,14405,6885,10,129207,448,9479,73623,41,5220,247,12010,37,40482,63907,10011,18680,153,153,1,11192,90,20,4,121,129,134034,4,1889,28502
218,3,4,3,25928,39,47,40,3460,7676,1411,304021,3510,9070,301,48831,44894,4,4,21,7164,13900,882,29,195039,6966,1531,66510,54,17054,122,2933,1,105065,98676,58899,906,17,245,143,13216,6,3,52,213,545,12550,5,456,117198
22,3,38,2,16209,18,8,183,8073,6018,185,93391,47953,23821,61,1271,108785,90,3,2,701,84546,60623,7,12899,1043,154644,225205,12,2033,118,100816,5,43296,12572,81304,3148,44,213,10,78029,12,9,8,229,688,57333,3,905,32784
71,2,8,6,207258,16,6,39,52450,108947,117,12349,17608,91110,455,2882,13794,11,125,15,207,21849,38891,8,12760,616,60492,41753,15,5845,110,77989,5,26750,53469,87568,4602,46,56,27,154357,58,4,5,540,726,82254,1,1166,17502
19,5,11,6,99176,42,5,155,13141,27125,295,32383,7049,17276,44,15600,34167,14,21,57,295,20585,11991,39,113475,323,8120,67777,168,7328,410,1088,10,48261,93412,88618,1745,4,143,147,37838,43,4,7,1088,606,157560,4,508,33343
5,5,44,6,39824,8,46,791,14299,5926,66,58553,79701,69801,110,1299,35740,125,33,6,572,12292,18325,14,80421,435,11945,178196,18,13195,73,13852,5,31565,81452,149086,3838,36,478,10,26824,79,2,32,752,1876,21973,10,405,18336
21,2,55,11,21290,23,77,63,3720,41242,620,61016,6344,8858,282,47400,53465,6,5,27,6167,7662,3040,17,166210,1347,7744,21587,109,8813,674,1508,1,52238,299017,243460,1458,19,63,22,12356,47,3,45,161,567,27610,15,10228,15286
76,13,18,2,13330,168,112,4,1100,61572,1283,33825,2493,10353,296,33271,28061,3,23,16,1447,13403,18846,26,89360,1197,11122,494833,21,8138,53,14286,10,18772,103961,121163,2788,36,63,15,4665,104,20,10,33,1746,247282,8,443,11649
33,9,63,4,2021,29,40,79,43605,4620,243,43744,24769,15104,41,4897,67753,73,13,2,3409,12849,17021,10,61429,2110,70191,65825,21,1254,701,53245,6,4850,27107,199172,3170,65,63,13,13562,43,6,8,298,1362,53598,5,1405,22445
6,2,34,10,56469,45,11,11,14441,34641,106,68856,23691,76183,177,7524,53339,3,9,58,9249,10954,1667,15,79123,2260,7888,58509,32,34061,209,1256,6,34101,485116,146363,1815,6,209,18,184072,12,4,14,449,2117,35795,2,1619,54245
67,2,48,3,17909,6,220,250,10750,527,325,61374,32682,38543,78,12904,20735,26,4,14,3413,21951,9849,6,27474,2945,164534,19069,13,10763,266,9610,2,98978,69612,243035,1074,86,204,22,15319,144,4,5,374,4836,11077,3,420,74997
19,1,25,4,55680,37,3,149,7890,14592,363,129737,2657,21708,224,27166,3388,9,27,32,841,6125,6716,141,56760,477,1214,213840,409,1618,26,6020,30,132154,79467,20154,4076,46,730,24,9568,37,6,17,379,1081,89583,3,1247,24057
86,2,62,1,48238,18,23,44,43712,10398,55,142675,30719,28868,30,5718,9041,53,18,9,1227,27801,20116,30,47920,525,36761,155328,87,14009,115,2266,7,87872,37643,167513,2926,17,148,11,34474,16,15,11,145,1225,20342,22,2617,21709
