Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Collinsella_aerofaciens,0.0067138592397388225,2,2,0,0,0.009950248756218905,0.0,28.69999999999998,8.579157881558921e-05,Indian
Bacteroides_fragilis,0.008428443729928688,3,3,0,3,0.014925373134328358,1.0,25.376190476190484,0.0,Indian
Rikenella_microfusus,5.2000964023305326e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Roseburia_inulinivorans,0.014012497746210556,7,7,0,16,0.03482587064676617,0.7619047619047619,32.616666666666625,0.0003449999360122657,Indian
Clostridium_innocuum,0.00011419241241430367,1,0,1,0,0.004975124378109453,0.0,23.242857142857147,0.0,Indian
Lactobacillus_ruminis,0.003564042190130971,2,2,0,0,0.009950248756218905,0.0,25.152380952380962,0.0019520650714680563,Indian
Emergencia_timonensis,0.0002736556088009785,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Parabacteroides_goldsteinii,0.00034191546818310853,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Acetivibrio_ethanolgignens,0.00019760001001783905,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Ruminococcus_torques,0.0004223576237844914,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Eisenbergiella_tayi,6.652711331181843e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Granulicatella_adiacens,3.311740285570607e-05,1,1,0,0,0.004975124378109453,0.0,1.5,0.0,Indian
Alistipes_putredinis,0.017398221574730945,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Prevotella_disiens,0.0002543179311428418,6,6,0,6,0.029850746268656716,0.4,28.96666666666665,0.0005768380320619127,Indian
Clostridium_symbiosum,0.0004633264277152963,3,3,0,1,0.014925373134328358,0.3333333333333333,25.376190476190484,0.0009162841380429908,Indian
Eubacterium_ventriosum,0.0008152141027964966,2,2,0,1,0.009950248756218905,1.0,17.76031746031743,0.0,Indian
Bacteroides_coprocola,0.007769160272756598,5,5,0,7,0.02487562189054726,0.7,29.649999999999977,0.00035029320228325205,Indian
Alistipes_senegalensis,0.0009062502293372654,1,1,0,0,0.004975124378109453,0.0,24.192857142857147,0.0,Indian
Streptococcus_salivarius,0.0007727679477454621,3,3,0,3,0.014925373134328358,1.0,3.5,0.0,Indian
Massilimicrobiota_timonensis,4.995249155204874e-06,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Blautia_hydrogenotrophica,0.000175799532774758,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Ruminococcus_bicirculans,0.0035176535390532533,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Intestinimonas_butyriciproducens,0.0014918165056387186,3,3,0,1,0.014925373134328358,0.3333333333333333,28.583333333333318,0.00032906086450862565,Indian
Bacteroides_fluxus,0.0006062951058423858,9,9,0,13,0.04477611940298507,0.3611111111111111,35.58333333333331,0.009779841986303347,Indian
Clostridioides_difficile,2.5501641957664536e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Butyricimonas_synergistica,3.103287964646991e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Eubacterium_ramulus,0.0006633119088260244,19,19,0,75,0.0945273631840796,0.43859649122807015,40.53333333333336,0.005820712950791185,Indian
Lachnoclostridium_phocaeense,0.00014125363187300957,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Roseburia_intestinalis,0.004438721577298703,8,8,0,17,0.03980099502487562,0.6071428571428571,34.03333333333332,0.011984728968969398,Indian
Massilioclostridium_coli,0.00047596057506365304,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Roseburia_faecis,0.014870017561415042,11,11,0,28,0.05472636815920398,0.509090909090909,36.116666666666646,0.010606841602171742,Indian
Anaerotignum_neopropionicum,2.8896399289715206e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Lachnospiraceae_bacterium_GAM79,0.020600844208653886,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Hungatella_hathewayi,0.00024568919921301436,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Clostridium_scindens,0.00013960308936525475,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Intestinibacillus_massiliensis,9.014551165666006e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Prevotella_stercorea,0.023400033383400954,12,12,0,23,0.05970149253731343,0.3484848484848485,36.61666666666666,0.008195844753956879,Indian
Eubacterium_eligens,0.008527529574748486,6,6,0,3,0.029850746268656716,0.2,27.08571428571429,0.009878138903424108,Indian
Fusicatenibacter_saccharivorans,0.0012760359248866517,14,13,1,40,0.06965174129353234,0.43956043956043955,37.36666666666665,0.009365937369621163,Indian
Christensenella_minuta,0.00019246356352481587,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Erysipelotrichaceae_bacterium_GAM147,5.34992879338477e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Massilimaliae_massiliensis,2.4408697260726137e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Faecalibaculum_rodentium,1.716363986377255e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Ruthenibacterium_lactatiformans,0.0012321745500059437,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Dialister_sp_Marseille-P5638,0.018437754134360634,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Barnesiella_viscericola,0.00016825666306213158,2,2,0,1,0.009950248756218905,1.0,2.5,0.0,Indian
Parasutterella_excrementihominis,0.0013163049833873508,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Oscillibacter_sp_PEA192,0.0014920306656682493,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Dorea_formicigenerans,0.0007943011276384503,16,15,1,52,0.07960199004975124,0.43333333333333335,39.950000000000024,0.008746922854239019,Indian
Lactonifactor_longoviformis,0.00012471515048689865,1,1,0,0,0.004975124378109453,0.0,1.0,0.0,Indian
Parabacteroides_sp_CT06,0.002591162598920762,7,7,0,5,0.03482587064676617,0.23809523809523808,28.69285714285714,0.014599980691654675,Indian
Butyrivibrio_crossotus,0.007402878728568304,1,1,0,0,0.004975124378109453,0.0,19.640476190476186,0.0,Indian
Coprococcus_comes,0.0015139769800427462,16,16,0,53,0.07960199004975124,0.44166666666666665,40.45000000000004,0.010248249854758047,Indian
Mageeibacillus_indolicus,2.644909599054703e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Odoribacter_splanchnicus,0.004152425145331455,3,3,0,1,0.014925373134328358,0.3333333333333333,27.02619047619048,0.0013553660270078183,Indian
Bacteroides_barnesiae,0.00028013862270570013,2,2,0,1,0.009950248756218905,1.0,2.5,0.0,Indian
Eubacterium_plexicaudatum,4.0196892789687434e-05,1,0,1,0,0.004975124378109453,0.0,24.192857142857147,0.0,Indian
Agathobaculum_desmolans,0.00015577638319727298,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Clostridium_asparagiforme,0.00021474040614639548,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Prevotella_timonensis,0.00021152249185294914,5,5,0,3,0.02487562189054726,0.3,30.19999999999997,0.0028670809566331956,Indian
Holdemanella_biformis,0.0017391978219452248,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Streptococcus_sp_A12,3.8116924943368945e-05,1,1,0,0,0.004975124378109453,0.0,1.5,0.0,Indian
Barnesiella_intestinihominis,0.003209371561377651,2,2,0,0,0.009950248756218905,0.0,3.8333333333333335,0.0004975124378109452,Indian
Bacteroides_thetaiotaomicron,0.006394263682053085,14,14,0,27,0.06965174129353234,0.2967032967032967,42.11666666666672,0.047749625914417906,Indian
Lachnospira_multipara,1.3657701714398502e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Ruminococcus_callidus,0.0007963874682917104,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_pectinophilus,0.0025698510942157296,11,11,0,31,0.05472636815920398,0.5636363636363636,35.53333333333331,0.00395265034555431,Indian
Lachnospiraceae_bacterium_Choco86,0.00021383429607798061,9,9,0,30,0.04477611940298507,0.8333333333333334,33.78333333333331,0.00011215396711827599,Indian
Prevotella_ihumii,0.0016056805640990847,8,8,0,17,0.03980099502487562,0.6071428571428571,32.299999999999955,0.000824930597318657,Indian
bacterium_LF-3,0.0001039459021451211,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Marvinbryantia_formatexigens,5.182145302103494e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Ruminococcus_gnavus,0.0007132445801242775,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Clostridium_sp_SY8519,3.065289291510738e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Johnsonella_ignava,0.0001384430266054118,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Christensenella_massiliensis,5.5991507766044725e-05,2,1,1,0,0.009950248756218905,0.0,25.109523809523818,0.007860696517412936,Indian
Absiella_dolichum,0.00018992269044348985,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Mordavella_sp_Marseille-P3756,0.00017003404805740943,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Eggerthella_lenta,0.00019052780307362983,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Lachnoclostridium_sp_YL32,0.0003059299473104313,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Alistipes_obesi,0.002433849127981116,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Neglecta_timonensis,2.5140358792971096e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Provencibacterium_massiliense,6.108073467182917e-05,2,2,0,0,0.009950248756218905,0.0,19.7392857142857,0.003980099502487562,Indian
Bariatricus_massiliensis,6.005007158990131e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Subdoligranulum_variabile,0.0005739197501300182,1,1,0,0,0.004975124378109453,0.0,18.939285714285703,0.0,Indian
Catenibacterium_mitsuokai,0.0017919199191377855,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bifidobacterium_adolescentis,0.01131703885971446,2,2,0,0,0.009950248756218905,0.0,21.269047619047605,0.00014552238805970149,Indian
Coprobacter_secundus,0.00041918840002122895,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Faecalitalea_cylindroides,0.0003500097077399875,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Sellimonas_intestinalis,5.3546210240545e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Faecalicoccus_pleomorphus,2.030016646303708e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Eubacterium_coprostanoligenes,0.0002744801610000476,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Clostridium_sporogenes,0.00021556148686498,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Anaerotignum_lactatifermentans,0.00010963090842858037,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Alistipes_inops,0.0011991685989731955,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_stercoris,0.005317767942112313,5,4,1,4,0.02487562189054726,0.4,28.109523809523807,0.004110005527915976,Indian
Bacteroides_plebeius,0.015542798824274447,3,3,0,2,0.014925373134328358,0.6666666666666666,26.7,2.7185501066098082e-05,Indian
Cellulomonas_carbonis,0.004375151836566139,7,7,0,17,0.03482587064676617,0.8095238095238095,30.733333333333302,0.00020945894879933127,Indian
Bifidobacterium_pseudocatenulatum,0.0013440312072768338,3,3,0,1,0.014925373134328358,0.3333333333333333,25.216666666666672,0.0020740543315170175,Indian
Bacteroides_caecimuris,0.004774085996947883,10,10,0,16,0.04975124378109452,0.35555555555555557,35.166666666666636,0.019606738705948888,Indian
Merdimonas_faecis,0.00012011521948993688,1,1,0,0,0.004975124378109453,0.0,15.83849206349204,0.0,Indian
Blautia_producta,1.6523824977635187e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Angelakisella_massiliensis,0.0005199345908504973,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_coprophilus,0.002424042370462337,10,10,0,19,0.04975124378109452,0.4222222222222222,37.76666666666667,0.006110230406493178,Indian
Escherichia_coli,0.01801633399731446,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Clostridium_methylpentosum,4.612845320535779e-05,1,0,1,0,0.004975124378109453,0.0,24.619047619047628,0.0,Indian
Streptococcus_sp_oral_taxon_431,1.992801301687649e-05,2,2,0,0,0.009950248756218905,0.0,2.0,4.9751243781094526e-05,Indian
Prevotella_copri,0.3076727171871952,9,9,0,23,0.04477611940298507,0.6388888888888888,31.7333333333333,0.0004907782375813068,Indian
Schaalia_odontolytica,0.00010387771270974397,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Prevotella_multisaccharivorax,0.0011749487301527827,7,7,0,10,0.03482587064676617,0.47619047619047616,28.233333333333327,0.00021310116086235487,Indian
Clostridium_citroniae,0.00021756317663568724,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Streptococcus_thermophilus,9.061499444203071e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_dorei,0.01314110344313207,2,2,0,0,0.009950248756218905,0.0,17.5051587301587,2.4875621890547263e-05,Indian
Catonella_morbi,1.1933689529451397e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Ruminococcus_bromii,0.0008389740735560582,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Ruminococcus_faecis,0.001157168035984471,11,11,0,32,0.05472636815920398,0.5818181818181818,35.449999999999974,0.004798349854063665,Indian
Eubacterium_nodatum,3.3614609734338224e-06,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Blautia_obeum,0.004245028616181791,8,8,0,23,0.03980099502487562,0.8214285714285714,33.449999999999974,0.00014717726333560207,Indian
Bacteroides_ovatus,0.015836884318607556,6,6,0,7,0.029850746268656716,0.4666666666666667,31.616666666666628,0.00623345459349299,Indian
Tyzzerella_nexilis,0.0009982556924724715,13,12,1,42,0.06467661691542288,0.5384615384615384,36.03333333333331,0.004573185659006555,Indian
Clostridium_phoceensis,0.00041229486636600054,1,1,0,0,0.004975124378109453,0.0,21.58571428571428,0.0,Indian
Eubacterium_uniforme,6.071423547445505e-06,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Anaerotruncus_colihominis,0.0003182042998977527,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Alistipes_shahii,0.0036512612289357053,1,1,0,0,0.004975124378109453,0.0,2.6166666666666663,0.0,Indian
Butyricicoccus_pullicaecorum,0.00011984438887315254,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Fournierella_massiliensis,0.00027164446243688303,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Butyricimonas_faecalis,0.0022563737694608127,7,7,0,9,0.03482587064676617,0.42857142857142855,34.28333333333331,0.008424553138170528,Indian
Clostridium_aminophilum,6.6214122175590794e-06,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Oscillibacter_ruminantium,0.00011177048809049803,1,0,1,0,0.004975124378109453,0.0,23.91904761904762,0.0,Indian
Lactobacillus_rogosae,0.007759985093627482,6,6,0,4,0.029850746268656716,0.26666666666666666,28.90238095238094,0.01022854987490646,Indian
Stomatobaculum_longum,3.4533263261303805e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bifidobacterium_longum,0.006399988123180423,2,2,0,1,0.009950248756218905,1.0,24.55,0.0,Indian
Levyella_massiliensis,7.56558326088956e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_salanitronis,0.0003488290969375241,2,2,0,0,0.009950248756218905,0.0,23.40952380952381,4.1459369817578766e-05,Indian
Clostridium_leptum,0.00017758373824868233,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_salyersiae,0.0007228085103331237,3,3,0,1,0.014925373134328358,0.3333333333333333,21.7892857142857,0.00203150912106136,Indian
Parabacteroides_distasonis,0.001443807920334729,2,2,0,0,0.009950248756218905,0.0,21.122619047619033,0.0018988391376451076,Indian
Ruminococcus_flavefaciens,6.693912013485487e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Alistipes_finegoldii,0.002781433117927623,2,2,0,0,0.009950248756218905,0.0,3.483333333333334,0.00029850746268656717,Indian
Blautia_sp_N6H1-15,8.432140035197052e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Culturomica_massiliensis,0.0006314136959081131,10,8,2,10,0.04975124378109452,0.2222222222222222,35.91666666666664,0.028511146794295505,Indian
Bifidobacterium_catenulatum,0.0032652114482182477,7,7,0,9,0.03482587064676617,0.42857142857142855,34.59999999999997,0.010262403710164902,Indian
Bacteroides_reticulotermitis,2.420423588291968e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Streptococcus_sp_FDAARGOS_192,0.0002680201865957052,3,3,0,3,0.014925373134328358,1.0,3.5,0.0,Indian
Bacteroides_caccae,0.009822174030602945,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_vulgatus,0.03393623460042034,5,5,0,6,0.02487562189054726,0.6,30.233333333333306,0.0008137861769702562,Indian
Alistipes_ihumii,0.0001989330626853489,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Veillonella_dispar,0.0008146866414781564,4,4,0,3,0.01990049751243781,0.5,4.0,0.00014925373134328358,Indian
Paraprevotella_xylaniphila,0.0044524024423986995,9,8,1,8,0.04477611940298507,0.2222222222222222,34.01666666666665,0.0086058750546987,Indian
Anaerobutyricum_hallii,0.00046665407954561884,4,4,0,4,0.01990049751243781,0.6666666666666666,22.773809523809522,0.001965174129353234,Indian
Clostridiales_bacterium_CCNA10,0.00111237593952801,8,8,0,16,0.03980099502487562,0.5714285714285714,36.849999999999994,0.002761644285005738,Indian
Blautia_schinkii,3.0964911583780185e-05,1,0,1,0,0.004975124378109453,0.0,20.372619047619036,0.0,Indian
Alistipes_megaguti,0.0016835916652701603,6,6,0,8,0.029850746268656716,0.5333333333333333,31.29999999999996,0.0009205858539560873,Indian
Eubacterium_oxidoreducens,1.741358641867907e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Phocea_massiliensis,0.00010101981572270293,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Monoglobus_pectinilyticus,9.603066975803166e-05,1,1,0,0,0.004975124378109453,0.0,19.023809523809515,0.0,Indian
Blautia_hansenii,0.00013676123818123212,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Pseudoflavonifractor_capillosus,0.0004341441213634566,9,9,0,20,0.04477611940298507,0.5555555555555556,35.93333333333331,0.0031196752060639135,Indian
Bacteroides_pyogenes,9.42950478460319e-05,1,1,0,0,0.004975124378109453,0.0,2.95,0.0,Indian
Bacteroides_faecichinchillae,0.00047019825391989576,2,2,0,0,0.009950248756218905,0.0,4.0,0.0005970149253731343,Indian
Bacteroides_nordii,0.0004998707369001472,2,2,0,0,0.009950248756218905,0.0,4.083333333333334,0.0005970149253731343,Indian
Roseburia_hominis,0.004265682697078549,1,1,0,0,0.004975124378109453,0.0,19.640476190476186,0.0,Indian
Gemmiger_formicilis,0.007826765377686451,3,3,0,1,0.014925373134328358,0.3333333333333333,25.12619047619048,0.003980099502487562,Indian
Bacteroides_cellulosilyticus,0.0005103257625917127,1,1,0,0,0.004975124378109453,0.0,2.0,0.0,Indian
Intestinibacter_bartlettii,0.00021293078723676965,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_uniformis,0.020068162060540923,9,9,0,15,0.04477611940298507,0.4166666666666667,34.883333333333304,0.004156082514901959,Indian
Clostridium_glycyrrhizinilyticum,0.00016569374597948726,21,20,1,79,0.1044776119402985,0.3761904761904762,45.31666666666672,0.038782584501476924,Indian
Traorella_massiliensis,0.00012741168736533134,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Prevotella_buccalis,0.0004384376577029971,4,4,0,3,0.01990049751243781,0.5,29.066666666666645,0.00027828150269651204,Indian
Flavonifractor_plautii,0.0015439389733063124,3,3,0,1,0.014925373134328358,0.3333333333333333,22.039285714285704,0.00023217247097844114,Indian
Haemophilus_parainfluenzae,0.002400232069991983,1,1,0,0,0.004975124378109453,0.0,2.5,0.0,Indian
Eubacterium_siraeum,0.0040594490727446555,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Clostridium_saccharolyticum,0.00016373854286182637,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Eubacterium_rectale,0.024782112076442372,11,10,1,24,0.05472636815920398,0.43636363636363634,37.033333333333324,0.008105688175013,Indian
Anaerostipes_hadrus,0.0007299297033376681,4,4,0,4,0.01990049751243781,0.6666666666666666,22.773809523809522,0.001965174129353234,Indian
Faecalibacterium_prausnitzii,0.019392730299902725,7,7,0,12,0.03482587064676617,0.5714285714285714,34.51666666666664,0.0035416465767214387,Indian
Prevotellamassilia_timonensis,0.029893398974755944,8,8,0,19,0.03980099502487562,0.6785714285714286,31.2333333333333,0.0003338370582520675,Indian
