,Function
TIGR01411,"Sec-independent exporter for folded proteins"
TIGR03929,type VII secretion protein EsaA
TIGR00733,"oligopeptide transporter, OPT family"
TIGR02070,monofunctional biosynthetic peptidoglycan transglycosylase
TIGR03692,"ATP-dependent protease HslVU, peptidase subunit"
TIGR01249,prolyl aminopeptidase
TIGR01233,6-phospho-beta-galactosidase
TIGR01062,"DNA topoisomerase IV, A subunit"
TIGR03590,"UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase"
TIGR03953,50S ribosomal protein uL4
TIGR02164,trimethylamine-N-oxide reductase TorA
TIGR01361,3-deoxy-7-phosphoheptulonate synthase
TIGR00792,sugar (Glycoside-Pentoside-Hexuronide) transporter
TIGR00473,CDP-diacylglycerol-serine O-phosphatidyltransferase
TIGR02826,anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR00861,MIP family channel proteins
TIGR00153,TIGR00153 family protein
TIGR00503,peptide chain release factor 3
TIGR00966,protein-export membrane protein SecF
TIGR03124,holo-ACP synthase CitX
TIGR04272,CxxC-x17-CxxC domain
TIGR02624,rhamnulose-1-phosphate aldolase
TIGR04211,SH3 domain protein
TIGR00888,"GMP synthase (glutamine-hydrolyzing), N-terminal domain"
TIGR04423,"CRISPR type III-associated protein, TIGR04423 family"
TIGR00441,phosphoheptose isomerase
TIGR03517,gliding motility-associated protein GldM
TIGR02223,cell division protein FtsN
TIGR01786,TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
TIGR04395,choline TMA-lyase-activating enzyme
TIGR00492,alanine racemase
TIGR03560,"probable F420-dependent oxidoreductase, Rv1855c family"
TIGR03197,"tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain"
TIGR03314,putative selenium metabolism protein SsnA
TIGR00647,DNA-binding protein WhiA
TIGR00728,"oligopeptide transporter, OPT superfamily"
TIGR02651,ribonuclease Z
TIGR02138,"phosphate ABC transporter, permease protein PstC"
TIGR01854,"UDP-2,3-diacylglucosamine diphosphatase"
TIGR00668,bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
TIGR02315,"phosphonate ABC transporter, ATP-binding protein"
TIGR02206,conserved hypothetical integral membrane protein TIGR02206
TIGR04056,"TonB-linked outer membrane protein, SusC/RagA family"
TIGR01876,"CRISPR-associated protein Cas5, subtype I-C/DVULG"
TIGR01324,cystathionine beta-lyase
TIGR00711,"drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family"
TIGR01354,cytidine deaminase
TIGR00029,ribosomal protein bS20
TIGR01169,ribosomal protein uL1
TIGR04472,mobile rSAM pair MarR family regulator
TIGR02430,3-oxoadipyl-CoA thiolase
TIGR03687,ubiquitin-like protein Pup
TIGR01891,amidohydrolase
TIGR00557,4-hydroxythreonine-4-phosphate dehydrogenase PdxA
TIGR02356,thiazole biosynthesis adenylyltransferase ThiF
TIGR00210,sodium/glutamate symporter
TIGR00513,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit"
TIGR00367,K+-dependent Na+/Ca+ exchanger homolog
TIGR01536,asparagine synthase (glutamine-hydrolyzing)
TIGR00435,cysteine--tRNA ligase
TIGR01083,endonuclease III
TIGR00453,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
TIGR03635,ribosomal protein uS17
TIGR01534,"glyceraldehyde-3-phosphate dehydrogenase, type I"
TIGR01740,orotidine 5'-phosphate decarboxylase
TIGR01292,thioredoxin-disulfide reductase
TIGR00009,ribosomal protein bL28
TIGR00560,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
TIGR01063,"DNA gyrase, A subunit"
TIGR03107,glutamyl aminopeptidase
TIGR00026,"deazaflavin-dependent oxidoreductase, nitroreductase family"
TIGR01231,tagatose-6-phosphate kinase
TIGR02364,"dihydroxyacetone kinase, phosphotransfer subunit"
TIGR04320,SEC10/PgrA surface exclusion domain
TIGR00422,valine--tRNA ligase
TIGR01251,ribose-phosphate diphosphokinase
TIGR00326,riboflavin biosynthesis protein RibD
TIGR01205,D-alanine--D-alanine ligase
TIGR03713,accessory Sec system protein Asp1
TIGR00531,"acetyl-CoA carboxylase, biotin carboxyl carrier protein"
TIGR01591,"formate dehydrogenase, alpha subunit"
TIGR01981,FeS assembly protein SufD
TIGR00397,MauM/NapG family ferredoxin-type protein
TIGR02777,"DNA ligase D, 3'-phosphoesterase domain"
TIGR01394,GTP-binding protein TypA/BipA
TIGR00046,"RNA methyltransferase, RsmE family"
TIGR01588,"citrate (pro-3S)-lyase, beta subunit"
TIGR01358,3-deoxy-7-phosphoheptulonate synthase
TIGR01473,protoheme IX farnesyltransferase
TIGR03654,ribosomal protein uL6
TIGR00187,"riboflavin synthase, alpha subunit"
TIGR01127,threonine ammonia-lyase
TIGR04329,"CRISPR-associated endonuclease Cas1, subtype PREFRAN"
TIGR01695,murein biosynthesis integral membrane protein MurJ
TIGR00217,4-alpha-glucanotransferase
TIGR02988,S4 domain protein YaaA
TIGR01813,flavocytochrome c
TIGR00540,heme biosynthesis-associated TPR protein
TIGR00163,phosphatidylserine decarboxylase
TIGR01023,ribosomal protein bL33
TIGR00970,2-isopropylmalate synthase
TIGR00189,"acyl-CoA thioestersase"
TIGR01608,citrate lyase acyl carrier protein
TIGR04181,"aminotransferase, LLPSF_NHT_00031 family"
TIGR04068,Cys-rich peptide radical SAM maturase CcpM
TIGR01328,methionine gamma-lyase
TIGR01363,streptococcal histidine triad protein
TIGR04387,"major capsid protein, N4-gp56 family"
TIGR01035,glutamyl-tRNA reductase
TIGR00421,polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases
TIGR02707,butyrate kinase
TIGR02124,hydrogenase expression/formation protein HypE
TIGR01987,"nucleotidyltransferase substrate binding protein, HI0074 family"
TIGR03752,"integrating conjugative element protein, PFL_4705 family"
TIGR00871,glucose-6-phosphate dehydrogenase
TIGR02698,"copper transport repressor, CopY/TcrY family"
TIGR00319,desulfoferrodoxin FeS4 iron-binding domain
TIGR00586,mutator mutT protein
TIGR00476,"selenide, water dikinase"
TIGR00030,ribosomal protein bS21
TIGR01044,ribosomal protein uL22
TIGR00609,"exodeoxyribonuclease V, beta subunit"
TIGR04341,ACGX-repeat peptide
TIGR01030,ribosomal protein bL34
TIGR02381,cold shock domain protein CspD
TIGR02677,TIGR02677 family protein
TIGR01049,ribosomal protein uS10
TIGR00251,TIGR00251 family protein
TIGR00066,gamma-glutamyltransferase
TIGR02927,"2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase"
TIGR02148,fibro-slime domain
TIGR01179,UDP-glucose 4-epimerase GalE
TIGR04040,"glycine radical enzyme, YjjI family"
TIGR01751,crotonyl-CoA carboxylase/reductase
TIGR01496,dihydropteroate synthase
TIGR00408,proline--tRNA ligase
TIGR01734,"D-alanine--poly(phosphoribitol) ligase, subunit 1"
TIGR03248,galactarate dehydratase
TIGR00277,HDIG domain
TIGR00020,peptide chain release factor 2
TIGR02283,lytic murein transglycosylase
TIGR03761,"integrating conjugative element protein, PFL_4669 family"
TIGR00237,"exodeoxyribonuclease VII, large subunit"
TIGR01343,homoaconitate hydratase family protein
TIGR01668,"HAD phosphatase, family IIIA"
TIGR00176,molybdopterin-guanine dinucleotide biosynthesis protein B
TIGR01448,"helicase, RecD/TraA family"
TIGR03184,DNA sulfur modification protein DndE
TIGR02530,flagellar operon protein
TIGR01300,"monovalent cation/proton antiporter, MnhG/PhaG subunit"
TIGR00211,"glycine--tRNA ligase, beta subunit"
TIGR02757,TIGR02757 family protein
TIGR04228,adhesin isopeptide-forming adherence domain
TIGR01998,"PTS system, N-acetylglucosamine-specific IIBC component"
TIGR00005,"pseudouridine synthase, RluA family"
TIGR02868,"thiol reductant ABC exporter, CydC subunit"
TIGR02139,"sulfate ABC transporter, permease protein CysT"
TIGR00761,acetylglutamate kinase
TIGR00933,"potassium uptake protein, TrkH family"
TIGR01109,"sodium ion-translocating decarboxylase, beta subunit"
TIGR00585,DNA mismatch repair protein MutL
TIGR01455,phosphoglucosamine mutase
TIGR02160,"phenylacetate-CoA oxygenase/reductase, PaaK subunit"
TIGR00043,rRNA maturation RNase YbeY
TIGR02404,trehalose operon repressor
TIGR03411,"urea ABC transporter, ATP-binding protein UrtD"
TIGR03539,succinyldiaminopimelate transaminase
TIGR02350,chaperone protein DnaK
TIGR01009,ribosomal protein uS3
TIGR00460,methionyl-tRNA formyltransferase
TIGR00977,citramalate synthase
TIGR03178,allantoinase
TIGR00741,ribosomal subunit interface protein
TIGR00857,"dihydroorotase, multifunctional complex type"
TIGR01055,"DNA topoisomerase IV, B subunit"
TIGR00218,"mannose-6-phosphate isomerase, class I"
TIGR02224,tyrosine recombinase XerC
TIGR02638,lactaldehyde reductase
TIGR00524,eIF-2B alpha/beta/delta-related uncharacterized proteins
TIGR02840,putative sporulation protein YtaF
TIGR01327,phosphoglycerate dehydrogenase
TIGR00437,ferrous iron transport protein B
TIGR01462,transcription elongation factor GreA
TIGR03756,"integrating conjugative element protein, PFL_4710 family"
TIGR00013,4-oxalocrotonate tautomerase family enzyme
TIGR01347,"dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex"
TIGR00093,pseudouridine synthase
TIGR02257,"cobaltochelatase, CobN subunit"
TIGR03033,putative phage-type endonuclease
TIGR00879,"MFS transporter, sugar porter (SP) family"
TIGR02970,"succinate dehydrogenase, cytochrome b556 subunit"
TIGR00464,glutamate--tRNA ligase
TIGR01141,histidinol-phosphate transaminase
TIGR00637,ModE molybdate transport repressor domain
TIGR00696,"glycosyltransferase, WecB/TagA/CpsF family"
TIGR01870,CRISPR type III-A/MTUBE-associated protein Csm2
TIGR02824,"putative NAD(P)H quinone oxidoreductase, PIG3 family"
TIGR00730,TIGR00730 family protein
TIGR00107,purine nucleoside phosphorylase
TIGR01540,"phage portal protein, PBSX family"
TIGR00201,comF family protein
TIGR00815,sulfate permease
TIGR01167,LPXTG cell wall anchor domain
TIGR01405,"DNA polymerase III, alpha subunit, Gram-positive type"
TIGR01396,flagellar basal-body rod protein FlgB
TIGR03402,cysteine desulfurase NifS
TIGR00116,translation elongation factor Ts
TIGR04501,microcompartment protein PduB
TIGR00998,efflux pump membrane protein
TIGR01774,"glycyl radical enzyme, PFL2/glycerol dehydratase family"
TIGR02046,"succinate dehydrogenase (or fumarate reductase) cytochrome b subunit, b558 family"
TIGR00577,DNA-formamidopyrimidine glycosylase
TIGR01037,dihydroorotate dehydrogenase family protein
TIGR00675,DNA (cytosine-5-)-methyltransferase
TIGR02872,sporulation integral membrane protein YtvI
TIGR01076,sortase
TIGR01537,"phage portal protein, HK97 family"
TIGR03783,"Bacteroides conjugation system ATPase, TraG family"
TIGR01927,o-succinylbenzoate synthase
TIGR00150,tRNA threonylcarbamoyl adenosine modification protein YjeE
TIGR01551,"phage major capsid protein, P2 family"
TIGR01128,"DNA polymerase III, delta subunit"
TIGR00552,NAD+ synthetase
TIGR03579,conserved hypothetical protein EF_0833/AHA_3914
TIGR00173,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR02679,TIGR02679 family protein
TIGR02814,PfaD family protein
TIGR01961,"NADH (or F420H2) dehydrogenase, subunit C"
TIGR01212,"radical SAM protein, TIGR01212 family"
TIGR02857,"thiol reductant ABC exporter, CydD subunit"
TIGR00787,"TRAP transporter solute receptor, DctP family"
TIGR03149,"cytochrome c nitrite reductase, Fe-S protein"
TIGR03423,penicillin-binding protein 2
TIGR02420,RNA polymerase-binding protein DksA
TIGR01721,putative AMP nucleosidase
TIGR00814,serine transporter
TIGR01443,intein C-terminal splicing region
TIGR00829,"PTS system, Fru family, IIB component"
TIGR04493,microcompartment protein PduM
TIGR02175,"2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate family"
TIGR03356,beta-galactosidase
TIGR00485,translation elongation factor Tu
TIGR01447,"exodeoxyribonuclease V, alpha subunit"
TIGR03719,"ATP-binding cassette protein, ChvD family"
TIGR02504,"ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent"
TIGR01901,filamentous hemagglutinin family N-terminal domain
TIGR00676,methylenetetrahydrofolate reductase [NAD(P)H]
TIGR04189,cell surface protein SprA
TIGR00220,large conductance mechanosensitive channel protein
TIGR02492,flagellar hook-associated protein FlgK
TIGR02454,cobalt ECF transporter T component CbiQ
TIGR03523,gliding motility associated protein GldN
TIGR04055,putative heme d1 biosynthesis radical SAM protein NirJ2
TIGR00750,LAO/AO transport system ATPase
TIGR03963,putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE
TIGR01103,flagellar biosynthetic protein FliP
TIGR01350,dihydrolipoyl dehydrogenase
TIGR03302,outer membrane assembly lipoprotein YfiO
TIGR01512,cadmium-translocating P-type ATPase
TIGR01145,"ATP synthase F1, delta subunit"
TIGR01064,pyruvate kinase
TIGR02126,"phage major tail protein, TP901-1 family"
TIGR01613,"phage/plasmid primase, P4 family, C-terminal domain"
TIGR03598,ribosome biogenesis GTP-binding protein YsxC
TIGR01670,"3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family"
TIGR00681,"K+-transporting ATPase, C subunit"
TIGR01850,N-acetyl-gamma-glutamyl-phosphate reductase
TIGR02644,pyrimidine-nucleoside phosphorylase
TIGR01510,pantetheine-phosphate adenylyltransferase
TIGR00252,TIGR00252 family protein
TIGR01782,TonB-dependent receptor
TIGR01899,CRISPR type III-A/MTUBE-associated RAMP protein Csm5
TIGR01646,Rhs element Vgr protein
TIGR00639,phosphoribosylglycinamide formyltransferase
TIGR00755,ribosomal RNA small subunit methyltransferase A
TIGR01592,"holin, SPP1 family"
TIGR00068,lactoylglutathione lyase
TIGR00515,"acetyl-CoA carboxylase, carboxyl transferase, beta subunit"
TIGR00158,ribosomal protein bL9
TIGR00165,ribosomal protein bS18
TIGR03662,chlor_Arch_YYY domain
TIGR00017,cytidylate kinase
TIGR01344,malate synthase A
TIGR03648,"probable sodium:solute symporter, VC_2705 subfamily"
TIGR03770,"anchored repeat-type ABC transporter, permease subunit"
TIGR00633,exodeoxyribonuclease III (xth)
TIGR00558,pyridoxamine 5'-phosphate oxidase
TIGR01553,formate dehydrogenase-N alpha subunit
TIGR03177,Flp pilus assembly protein CpaB
TIGR01542,"phage portal protein, putative, A118 family"
TIGR03987,TIGR03987 family protein
TIGR02145,fibrobacter succinogenes major paralogous domain
TIGR03779,Bacteroides conjugative transposon TraM protein
TIGR01200,GLPGLI family protein
TIGR01828,"pyruvate, phosphate dikinase"
TIGR01515,"1,4-alpha-glucan branching enzyme"
TIGR02614,"cell division protein FtsW"
TIGR01319,conserved hypothetical protein
TIGR02622,"CDP-glucose 4,6-dehydratase"
TIGR00074,hydrogenase assembly chaperone HypC/HupF
TIGR00439,putative protein insertion permease FtsX
TIGR00571,DNA adenine methylase
TIGR00702,YcaO-type kinase domain
TIGR02860,stage IV sporulation protein B
TIGR00440,glutamine--tRNA ligase
TIGR03407,"urea ABC transporter, urea binding protein"
TIGR04406,LPS export ABC transporter ATP-binding protein
TIGR03544,DivIVA domain
TIGR00674,4-hydroxy-tetrahydrodipicolinate synthase
TIGR02221,"CRISPR-associated protein, TM1812 family"
TIGR02163,"ferredoxin-type protein, NapH/MauN family"
TIGR00012,ribosomal protein uL29
TIGR01072,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
TIGR01239,galactose-1-phosphate uridylyltransferase
TIGR00458,aspartate--tRNA(Asn) ligase
TIGR01351,adenylate kinase
TIGR02623,glucose-1-phosphate cytidylyltransferase
TIGR02846,RNA polymerase sigma-K factor
TIGR03462,lycopene cyclase domain
TIGR03301,2-aminoethylphosphonate aminotransferase
TIGR04480,"D-proline reductase (dithiol), PrdA proprotein"
TIGR03926,type VII secretion protein EssB
TIGR02199,"bifunctional protein RfaE, domain II"
TIGR03347,"type VI secretion protein, VC_A0111 family"
TIGR02859,RNA polymerase sigma-H factor
TIGR01718,uridine phosphorylase
TIGR01066,ribosomal protein uL13
TIGR02625,L-rhamnose mutarotase
TIGR03448,mycothiol synthase
TIGR04105,"[FeFe] hydrogenase, group B1/B3"
TIGR03733,"lantibiotic protection ABC transporter permease subunit, MutG family"
TIGR00035,aspartate racemase
TIGR01368,"carbamoyl-phosphate synthase, small subunit"
TIGR02227,signal peptidase I
TIGR00268,TIGR00268 family protein
TIGR02627,rhamnulokinase
TIGR01835,hydroxymethylglutaryl-CoA synthase
TIGR02968,"succinate dehydrogenase, hydrophobic membrane anchor protein"
TIGR03781,Bacteroides conjugative transposon TraK protein
TIGR02278,phenylacetic acid degradation protein paaN
TIGR01525,heavy metal translocating P-type ATPase
TIGR03814,"glutaminase A"
TIGR02678,TIGR02678 family protein
TIGR02876,sporulation protein YqfD
TIGR01029,ribosomal protein uS7
TIGR01539,"phage portal protein, lambda family"
TIGR01509,"HAD hydrolase, family IA, variant 3"
TIGR03145,cytochrome c nitrate reductase biogenesis protein NrfE
TIGR02883,N-acetylmuramoyl-L-alanine amidase CwlD
TIGR01538,"phage portal protein, SPP1 family"
TIGR03639,"CRISPR-associated endonuclease Cas1, subtype II/NMENI"
TIGR01060,phosphopyruvate hydratase
TIGR03252,uncharacterized HhH-GPD family protein
TIGR00290,MJ0570-related uncharacterized domain
TIGR00910,glutamate:gamma-aminobutyrate antiporter
TIGR00997,intracellular septation protein A
TIGR03070,"transcriptional regulator, y4mF family"
TIGR00023,acyl-phosphate glycerol 3-phosphate acyltransferase
TIGR00228,crossover junction endodeoxyribonuclease RuvC
TIGR03625,50S ribosomal protein uL3
TIGR01364,phosphoserine transaminase
TIGR03140,alkyl hydroperoxide reductase subunit F
TIGR00206,flagellar M-ring protein FliF
TIGR01412,Tat-translocated enzyme
TIGR02683,putative addiction module killer protein
TIGR02241,conserved hypothetical phage tail region protein
TIGR01221,"dTDP-4-dehydrorhamnose 3,5-epimerase"
TIGR00169,3-isopropylmalate dehydrogenase
TIGR01750,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ
TIGR00207,flagellar motor switch protein FliG
TIGR00002,ribosomal protein bS16
TIGR02630,xylose isomerase
TIGR01254,"ABC transporter periplasmic binding protein, thiB subfamily"
TIGR01701,oxidoreductase alpha (molybdopterin) subunit
TIGR00477,tellurite resistance protein TehB
TIGR01304,IMP dehydrogenase family protein
TIGR03072,putative peptide chain release factor H
TIGR01505,2-hydroxy-3-oxopropionate reductase
TIGR02367,"pyrrolysine--tRNA ligase, C-terminal region"
TIGR01974,"proton-translocating NADH-quinone oxidoreductase, chain L"
TIGR03589,"UDP-N-acetylglucosamine 4,6-dehydratase"
TIGR01549,"HAD hydrolase, family IA, variant 1"
TIGR02363,"dihydroxyacetone kinase, DhaK subunit"
TIGR03744,"conjugative transfer ATPase, PFL_4706 family"
TIGR00125,cytidyltransferase-like domain
TIGR04011,poly-gamma-glutamate biosynthesis protein PgsC
TIGR00142,hydrogenase maturation peptidase HycI
TIGR03567,FMN reductase
TIGR00873,6-phosphogluconate dehydrogenase (decarboxylating)
TIGR04247,nitrous oxide reductase family maturation protein NosD
TIGR00484,translation elongation factor G
TIGR03309,"selenium-dependent molybdenum hydroxylase system protein, YqeB family"
TIGR02433,"tRNA(Ile)-lysidine synthetase, C-terminal domain"
TIGR01287,nitrogenase iron protein
TIGR02210,rod shape-determining protein RodA
TIGR00443,"ATP phosphoribosyltransferase, regulatory subunit"
TIGR01746,thioester reductase domain
TIGR03296,M6 family metalloprotease domain
TIGR00945,twin arginine-targeting protein translocase TatC
TIGR04567,DNA-directed RNA polymerase delta subunit
TIGR00004,reactive intermediate/imine deaminase
TIGR01851,N-acetyl-gamma-glutamyl-phosphate reductase
TIGR04104,cxxc_20_cxxc protein
TIGR00457,asparagine--tRNA ligase
TIGR02849,stage III sporulation protein AD
TIGR03064,"sortase, SrtB family"
TIGR03580,conserved hypothetical protein EF_0832/AHA_3913
TIGR04041,"glycine radical enzyme activase, YjjW family"
TIGR00186,"RNA methyltransferase, TrmH family, group 3"
TIGR02985,"RNA polymerase sigma-70 factor, Bacteroides expansion family 1"
TIGR02113,phosphopantothenoylcysteine decarboxylase
TIGR03911,pyrrolysine biosynthesis protein PylD
TIGR01047,carboxynorspermidine decarboxylase
TIGR04141,"sporadically distributed protein, TIGR04141 family"
TIGR00073,hydrogenase accessory protein HypB
TIGR00663,"DNA polymerase III, beta subunit"
TIGR02835,RNA polymerase sigma-E factor
TIGR01227,formimidoylglutamase
TIGR00344,alanine--tRNA ligase
TIGR00259,"membrane complex biogenesis protein, BtpA family"
TIGR00241,putative CoA-substrate-specific enzyme activase
TIGR03151,putative enoyl-[acyl-carrier-protein] reductase II
TIGR02631,xylose isomerase
TIGR03561,"peroxiredoxin, Ohr subfamily"
TIGR01856,"histidinol phosphate phosphatase, HisJ family"
TIGR02211,"lipoprotein releasing system, ATP-binding protein"
TIGR00657,aspartate kinase
TIGR02392,alternative sigma factor RpoH
TIGR02802,peptidoglycan-associated lipoprotein
TIGR02011,iron-sulfur cluster assembly protein IscA
TIGR00377,anti-anti-sigma factor
TIGR00796,branched-chain amino acid transport system II carrier protein
TIGR00121,biotin--[acetyl-CoA-carboxylase] ligase
TIGR00688,protein RarD
TIGR02222,export-related chaperone protein CsaA
TIGR00784,citrate transporter
TIGR00638,molybdenum-pterin binding domain
TIGR00333,nrdI protein
TIGR01669,"phage uncharacterized protein, XkdX family"
TIGR00828,"PTS system, mannose/fructose/sorbose family, IID component"
TIGR03379,"glycerol-3-phosphate dehydrogenase, anaerobic, C subunit"
TIGR00651,phosphate acetyltransferase
TIGR01346,isocitrate lyase
TIGR04521,energy-coupling factor transporter ATPase
TIGR03297,phosphonopyruvate decarboxylase
TIGR01887,putative dipeptidase
TIGR00713,"glutamate-1-semialdehyde-2,1-aminomutase"
TIGR01925,anti-sigma F factor
TIGR03868,"proposed F420-0 ABC transporter, periplasmic F420-0 binding protein"
TIGR00198,catalase/peroxidase HPI
TIGR04534,ELWxxDGT repeat
TIGR02772,Ku protein
TIGR00353,cytochrome c-type biogenesis protein CcmF
TIGR02787,GTP-sensing transcriptional pleiotropic repressor CodY
TIGR03760,"integrating conjugative element relaxase, PFGI-1 class"
TIGR00746,carbamate kinase
TIGR00587,apurinic endonuclease (APN1)
TIGR00342,tRNA sulfurtransferase ThiI
TIGR00180,ParB/RepB/Spo0J family partition protein
TIGR00653,"glutamine synthetase, type I"
TIGR02951,"dimethylsulfoxide reductase, chain B"
TIGR02851,stage V sporulation protein T
TIGR02365,"dihydroxyacetone kinase, L subunit"
TIGR01883,peptidase T-like protein
TIGR01081,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
TIGR01218,tandem five-TM protein
TIGR03458,"succinate CoA transferase"
TIGR00835,amino acid carrier protein
TIGR00060,ribosomal protein uL18
TIGR00732,DNA protecting protein DprA
TIGR02094,alpha-glucan phosphorylases
TIGR01021,ribosomal protein uS5
TIGR00499,lysine--tRNA ligase
TIGR03524,gliding motility-associated lipoprotein GldJ
TIGR01990,beta-phosphoglucomutase
