TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR00030,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00031,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00032,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
TIGR00033,70,Aromatic amino acid family,Amino acid biosynthesis,Amino acid biosynthesis::Aromatic amino acid family
TIGR00034,70,Aromatic amino acid family,Amino acid biosynthesis,Amino acid biosynthesis::Aromatic amino acid family
TIGR00035,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR00036,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR00037,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00038,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00039,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00040,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00041,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Nucleotide and nucleoside interconversions"
TIGR00042,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00043,136,Other,Protein synthesis,Protein synthesis::Other
TIGR00044,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00045,184,Other,Energy metabolism,Energy metabolism::Other
TIGR00046,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00048,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00049,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00050,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00051,157,General,Unknown function,Unknown function::General
TIGR00052,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00053,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR00054,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR00055,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00056,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00057,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00059,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00060,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00061,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00062,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00063,78,Folic acid,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Folic acid"
TIGR00064,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00065,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR00066,86,Glutathione and analogs,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Glutathione and analogs"
TIGR00067,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00068,100,Amino sugars,Central intermediary metabolism,Central intermediary metabolism::Amino sugars
TIGR00068,184,Other,Energy metabolism,Energy metabolism::Other
TIGR00069,161,Histidine family,Amino acid biosynthesis,Amino acid biosynthesis::Histidine family
TIGR00070,161,Histidine family,Amino acid biosynthesis,Amino acid biosynthesis::Histidine family
TIGR00071,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00073,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00074,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR00074,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00075,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00077,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00078,163,Pyridine nucleotides,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pyridine nucleotides"
TIGR00079,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00080,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00081,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00082,166,RNA processing,Transcription,Transcription::RNA processing
TIGR00083,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Riboflavin, FMN, and FAD"
TIGR00084,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00086,136,Other,Protein synthesis,Protein synthesis::Other
TIGR00087,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR00088,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00090,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00091,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00092,157,General,Unknown function,Unknown function::General
TIGR00093,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00094,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00095,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00096,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00097,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR00099,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00100,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00101,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR00103,157,General,Unknown function,Unknown function::General
TIGR00104,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00105,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00106,157,General,Unknown function,Unknown function::General
TIGR00107,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Salvage of nucleosides and nucleotides"
TIGR00109,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00110,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00111,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00112,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
TIGR00113,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00114,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Riboflavin, FMN, and FAD"
TIGR00115,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR00116,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00117,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00118,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00119,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00120,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
TIGR00121,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00122,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR00123,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00124,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR00124,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00126,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR00126,184,Other,Energy metabolism,Energy metabolism::Other
TIGR00127,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00128,176,Biosynthesis,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Biosynthesis
TIGR00129,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR00129,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00130,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00131,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR00132,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00133,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00134,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00135,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00136,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00137,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00138,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00139,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR00140,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00142,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00143,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00144,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00145,157,General,Unknown function,Unknown function::General
TIGR00147,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00148,157,General,Unknown function,Unknown function::General
TIGR00149,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00150,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00151,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00152,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A"
TIGR00153,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00154,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00155,157,General,Unknown function,Unknown function::General
TIGR00156,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00157,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00158,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00159,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00160,184,Other,Energy metabolism,Energy metabolism::Other
TIGR00161,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00162,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00163,176,Biosynthesis,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Biosynthesis
TIGR00164,157,General,Unknown function,Unknown function::General
TIGR00165,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00166,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00167,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR00168,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00169,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00170,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00171,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00172,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR00173,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Menaquinone and ubiquinone"
TIGR00174,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00175,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00176,82,Molybdopterin,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Molybdopterin"
TIGR00178,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00179,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00181,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR00182,176,Biosynthesis,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Biosynthesis
TIGR00183,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00184,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00185,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00186,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00187,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Riboflavin, FMN, and FAD"
TIGR00188,166,RNA processing,Transcription,Transcription::RNA processing
TIGR00189,176,Biosynthesis,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Biosynthesis
TIGR00190,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR00191,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR00192,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR00193,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR00194,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00195,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00196,157,General,Unknown function,Unknown function::General
TIGR00197,157,General,Unknown function,Unknown function::General
TIGR00198,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR00199,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00200,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00201,98,DNA transformation,Cellular processes,Cellular processes::DNA transformation
TIGR00202,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR00202,262,RNA interactions,Regulatory functions,Regulatory functions::RNA interactions
TIGR00203,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00204,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00204,84,Pyridoxine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pyridoxine"
TIGR00204,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR00205,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR00206,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR00207,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR00208,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR00209,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR00210,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00211,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00212,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00213,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00214,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00215,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00216,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00217,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR00218,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR00219,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00220,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR00221,100,Amino sugars,Central intermediary metabolism,Central intermediary metabolism::Amino sugars
TIGR00222,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A"
TIGR00223,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A"
TIGR00224,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR00225,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR00225,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00228,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00229,264,Small molecule interactions,Regulatory functions,Regulatory functions::Small molecule interactions
TIGR00230,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR00230,129,Other,Regulatory functions,Regulatory functions::Other
TIGR00231,157,General,Unknown function,Unknown function::General
TIGR00232,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00233,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00234,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00235,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Salvage of nucleosides and nucleotides"
TIGR00236,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00237,131,Degradation of DNA,DNA metabolism,DNA metabolism::Degradation of DNA
TIGR00238,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR00239,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00240,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Pyrimidine ribonucleotide biosynthesis"
TIGR00242,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR00242,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR00243,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00244,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR00245,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00246,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00247,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00249,263,Protein interactions,Regulatory functions,Regulatory functions::Protein interactions
TIGR00250,157,General,Unknown function,Unknown function::General
TIGR00251,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00252,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00253,157,General,Unknown function,Unknown function::General
TIGR00254,264,Small molecule interactions,Regulatory functions,Regulatory functions::Small molecule interactions
TIGR00254,710,Other,Signal transduction,Signal transduction::Other
TIGR00255,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00256,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00257,157,General,Unknown function,Unknown function::General
TIGR00258,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR00259,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR00260,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR00261,157,General,Unknown function,Unknown function::General
TIGR00262,70,Aromatic amino acid family,Amino acid biosynthesis,Amino acid biosynthesis::Aromatic amino acid family
TIGR00263,70,Aromatic amino acid family,Amino acid biosynthesis,Amino acid biosynthesis::Aromatic amino acid family
TIGR00264,157,General,Unknown function,Unknown function::General
TIGR00266,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00267,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00268,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00269,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00270,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00272,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00273,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00274,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00275,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00276,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00278,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00279,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00280,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00281,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR00281,170,Chromosome-associated proteins,DNA metabolism,DNA metabolism::Chromosome-associated proteins
TIGR00282,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00283,136,Other,Protein synthesis,Protein synthesis::Other
TIGR00284,157,General,Unknown function,Unknown function::General
TIGR00285,170,Chromosome-associated proteins,DNA metabolism,DNA metabolism::Chromosome-associated proteins
TIGR00286,104,Polyamine biosynthesis,Central intermediary metabolism,Central intermediary metabolism::Polyamine biosynthesis
TIGR00286,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR00287,719,NA,NA,NA::NA
