,Importance,P-val,Q-val
Ruminococcus_lactaris,0.005446234188406262,1.3263049490675013e-05,1.8409904516907107e-05
Blautia_sp_N6H115,0.005427942985549482,0.0006880498187079672,0.000901248354082267
Barnesiella_intestinihominis,0.0053237657598560195,0.0006880498187079672,0.000901248354082267
Emergencia_timonensis,0.005301851468631951,0.0004795796788953639,0.0006463900019894035
Bacteroides_stercoris,0.005283030746624003,0.00010153243695762972,0.0001388605387802877
Alistipes_inops,0.005273390491595059,0.0034548377941695774,0.004462498817469037
Fournierella_massiliensis,0.005153155838610236,0.020724613252596717,0.02569852043321993
Coprococcus_eutactus,0.0051131216159595845,0.003883061005496279,0.0049469133357692326
Parabacteroides_johnsonii,0.005069646858275807,0.014155796155559739,0.017790392465771025
Bacteroides_fragilis,0.005053191817208479,0.027784839651390142,0.03399986957341162
Eubacterium_siraeum,0.0050487764817574166,0.03694135947578718,0.04461748612010659
