,Importance,P-val,Q-val
Bilophila_wadsworthia,0.005887040559081529,7.558707534275498e-32,2.461425273982021e-31
Neglecta_timonensis,0.0056904887136434235,8.972575138847094e-28,2.0718491684246924e-27
Alistipes_inops,0.005627611554431911,4.232076213886886e-28,1.01410128144082e-27
Bacteroides_coprophilus,0.005533830872667153,5.744168135117547e-30,1.6579758026362011e-29
Marvinbryantia_formatexigens,0.005530256839885481,2.3487920756382302e-30,7.275526673318421e-30
Alistipes_putredinis,0.005494562608564995,4.859662927614175e-30,1.4352957949000003e-29
Bacteroides_salanitronis,0.0054128192280282995,2.3592029627626127e-29,6.114668903486772e-29
Anaerotruncus_colihominis,0.0053685109019130485,4.595984554870453e-30,1.389738186829875e-29
Bacteroides_dorei,0.005358728350645571,4.010187063552797e-28,9.794110712907793e-28
Parabacteroides_goldsteinii,0.005326513528155535,2.295088695795969e-29,6.072422174293502e-29
Ruminococcus_bicirculans,0.005310945785454809,4.819187316133863e-29,1.224073578298001e-28
Faecalitalea_cylindroides,0.005294295854775811,4.1880039153821294e-26,9.170284435405696e-26
Bittarella_massiliensis,0.005261345201099139,5.841863466289726e-25,1.1966397745464438e-24
Odoribacter_splanchnicus,0.005247745261109352,7.020723332139702e-26,1.5112404460707494e-25
Bacteroides_pyogenes,0.0051858669745093585,7.439011628396046e-28,1.74954532741907e-27
Coprococcus_eutactus,0.005134054940197067,3.7998416144345786e-28,9.462350686925323e-28
Bacteroides_fluxus,0.00512565030927661,2.604073080454386e-27,5.802057565222931e-27
Prevotellamassilia_timonensis,0.005112476385048938,2.4695287509056246e-27,5.600538417232399e-27
Bacteroides_cellulosilyticus,0.005108342105222382,3.60971251090888e-25,7.515303096482423e-25
Butyricimonas_sp_H184,0.005090208603230926,1.0595987461292188e-25,2.242817345973513e-25
Intestinimonas_butyriciproducens,0.0049711662411649525,6.89266065913919e-20,1.1829295996090232e-19
Butyricicoccus_pullicaecorum,0.004960690208319762,1.4858468850181374e-22,2.816456035780649e-22
Barnesiella_viscericola,0.0048706672976836386,3.018963041353741e-23,5.898589326952694e-23
Eubacterium_ventriosum,0.004848272366736585,1.48665210553123e-23,2.9500752719135343e-23
Sellimonas_intestinalis,0.004840045397021374,4.339708323629772e-22,7.987579088420015e-22
Clostridium_methylpentosum,0.004835841583482174,1.8633106980237494e-21,3.3329642063241713e-21
Coprococcus_comes,0.004804611696220702,1.450648738773866e-23,2.92432364800446e-23
Ruminococcus_callidus,0.004800988971239693,3.493329768699808e-23,6.722013342801146e-23
Bacteroides_nordii,0.00478710294306335,3.5899403715150223e-22,6.704741576211879e-22
Clostridiales_bacterium,0.004715412771285649,2.0401118841881856e-20,3.598530684609716e-20
Eubacterium_hallii,0.0045755934267205835,5.567844208083287e-14,8.418050171744969e-14
Parabacteroides_johnsonii,0.004488610520712452,5.369504222057279e-22,9.741814802875349e-22
Ruminococcus_lactaris,0.004478700068360384,2.2003886253353917e-18,3.676965202863088e-18
Eubacterium_ramulus,0.004429752554604951,3.931266372488273e-20,6.839326428849462e-20
Bacteroides_ovatus,0.004416201694856669,1.0125488826885639e-18,1.7145827746859684e-18
Coprobacter_fastidiosus,0.004371254564304909,1.0395783829470569e-13,1.5532524074620731e-13
Eubacterium_eligens,0.004361558988896806,8.820449856888787e-16,1.4361501690062513e-15
Roseburia_faecis,0.004322194204485966,1.5649536688117284e-14,2.4843639492386188e-14
Prevotella_copri,0.00423420067763337,2.7242113352968904e-16,4.493179734840325e-16
Fusicatenibacter_saccharivorans,0.004220650869329915,6.087199214260783e-10,8.052857293865827e-10
Blautia_schinkii,0.004181359557457471,3.887351875180208e-15,6.249287191745398e-15
Odoribacter_laneus,0.004173866554260008,1.6251042108429252e-14,2.5480028984821174e-14
Bacteroides_coprocola,0.004158497644230925,2.907112756177265e-14,4.4482327715001526e-14
Negativibacillus_massiliensis,0.004148048911961034,1.0817253145774477e-12,1.5611263062651804e-12
Alistipes_sp_MarseilleP5997,0.004136621004107762,2.0351930724359707e-13,2.970914025280095e-13
Eubacterium_siraeum,0.004114782599646968,2.2371588345747235e-14,3.464867951109633e-14
Ruminococcus_torques,0.0041044663046656375,3.3315313130018995e-12,4.753982884845407e-12
Barnesiella_intestinihominis,0.004099695975328294,1.4802832671590503e-09,1.9381028343216433e-09
Bacteroides_fragilis,0.004069354463582391,1.416893161638359e-13,2.0923887386985069e-13
Eubacterium_rectale,0.004024390955503205,9.764124352928662e-09,1.2525694876989296e-08
Roseburia_hominis,0.004021396317471316,6.465479689140364e-12,9.12351022800918e-12
Bacteroides_heparinolyticus,0.004008636681991954,1.9103266544455955e-10,2.6087256463934476e-10
Provencibacterium_massiliense,0.003986321429263761,2.0984419525636252e-10,2.835129021016813e-10
Bacteroides_reticulotermitis,0.003930497873294741,1.658641502616228e-10,2.2896464220897928e-10
Roseburia_inulinivorans,0.003929663434806263,6.923748062754687e-11,9.662813230437861e-11
Fournierella_massiliensis,0.0039063141637376095,7.02354782511586e-06,8.660102658152565e-06
UniqID,0.0038799842041779627,2.5701637281509355e-10,3.435903089212303e-10
Clostridium_scindens,0.003873297598294172,9.751851508631074e-07,1.2384851415961463e-06
Christensenella_minuta,0.003864481214067078,2.7929709362654183e-09,3.619462335772532e-09
Pseudoflavonifractor_capillosus,0.003808136981021985,1.626560047357732e-05,1.967363104899352e-05
Dorea_formicigenerans,0.003741105266745707,2.165897388642573e-06,2.7234551322535323e-06
Erysipelotrichaceae_bacterium,0.0036905766944834084,2.6158178333861617e-05,3.1340458947173825e-05
Bacteroides_caecimuris,0.0036404303791209734,4.379367748727782e-06,5.452742196945376e-06
Roseburia_intestinalis,0.003608104804146728,0.0002120705782299016,0.0002448451221381591
Massilioclostridium_coli,0.0035935746626478272,8.35948670511981e-05,9.83013714398348e-05
Merdibacter_massiliensis,0.0035926510503004783,1.2979626086391448e-05,1.5850120317035712e-05
Mediterranea_massiliensis,0.003569565040052178,0.00016968589558646817,0.00019770741962827024
Butyrivibrio_crossotus,0.0035549899553633784,6.280798713706515e-05,7.454779781689041e-05
Bacteroides_vulgatus,0.003501030468384338,0.00043560842620145453,0.0004939488404248636
Clostridium_leptum,0.0034929722114223545,0.001218629716205761,0.0013575962627906286
Bacteroides_helcogenes,0.003486599503986393,0.00025474130199619835,0.0002914607689506053
Clostridium_phoceensis,0.0034478010777448474,0.026560111002793367,0.028109450811289648
Ruminococcus_gnavus,0.00343585449554282,0.0032330668873814246,0.0035704303886733993
Angelakisella_massiliensis,0.00343519626842221,0.0005141029283697316,0.0005777970964863355
Bacteroides_pectinophilus,0.0033779543719376433,0.012408073731009888,0.013468592853318426
Lactobacillus_rogosae,0.0033642073448937075,0.01851503350622174,0.019759741641093787
Bacteroides_thetaiotaomicron,0.003354532252399892,0.012408073731009888,0.013468592853318426
Clostridium_glycyrrhizinilyticum,0.00334067210839295,0.014967437287511839,0.01610902148740681
Bacteroides_caccae,0.0033201070908403314,0.028098268595802882,0.029491571170801374
bacterium_LF3,0.0033181524860939914,0.036353215261811185,0.03784310113319689
